customer_id,signup_date,country,device,acquisition_channel,plan,gross_mrr,discount_rate,net_mrr,monthly_sessions,support_tickets_last_90d,nps_score,is_churned,churn_date
C00099,2025-04-30,South Africa,Mobile,Partner,Standard,179.0,0.22,139.62,25,1,6,0,
C00100,2024-04-16,USA,Desktop,Referral,Basic,99.0,0.06,93.06,10,2,6,0,
C00101,2025-09-26,Germany,Mobile,Organic,Premium,299.0,0.068,278.67,16,0,9,0,
C00102,2024-06-01,Nigeria,Mobile,Organic,Premium,299.0,0.028,290.63,27,0,9,0,
C00103,2025-09-05,USA,Mobile,Partner,Standard,179.0,0.018,175.78,12,0,10,0,
C00104,2024-01-06,South Africa,Desktop,Partner,Standard,179.0,0.197,143.74,27,0,5,1,2024-10-07
C00105,2025-08-30,United Kingdom,Mobile,Paid Search,Basic,99.0,0.032,95.83,18,1,9,1,2026-03-03
C00106,2025-08-22,South Africa,Desktop,Paid Social,Premium,299.0,0.099,269.4,9,1,10,0,
C00107,2025-08-17,South Africa,Desktop,Paid Search,Basic,99.0,0.097,89.4,19,0,5,1,2026-11-04
C00108,2025-05-21,Kenya,Desktop,Paid Search,Premium,299.0,0.07,278.07,11,1,8,0,
C00109,2024-12-25,South Africa,Tablet,Organic,Standard,179.0,0.05,170.05,27,0,8,1,2025-06-03
C00110,2025-06-21,USA,Desktop,Organic,Basic,99.0,0.096,89.5,16,1,7,0,
C00111,2024-07-30,South Africa,Desktop,Organic,Basic,99.0,0.039,95.14,33,0,6,1,2025-06-04
C00112,2025-08-17,India,Desktop,Referral,Standard,179.0,0.056,168.98,30,1,6,0,
C00113,2025-02-27,Germany,Desktop,Organic,Standard,179.0,0.093,162.35,13,0,3,0,
C00114,2024-12-15,United Kingdom,Desktop,Organic,Basic,99.0,0.016,97.42,2,1,6,1,2025-02-18
C00115,2025-01-20,USA,Desktop,Paid Search,Standard,179.0,0.115,158.42,15,0,6,0,
C00116,2025-03-09,South Africa,Mobile,Organic,Premium,299.0,0.011,295.71,14,1,4,1,2025-12-22
C00117,2024-01-29,South Africa,Desktop,Organic,Standard,179.0,0.062,167.9,36,0,7,1,2025-05-04
C00118,2024-04-16,South Africa,Mobile,Paid Search,Standard,179.0,0.009,177.39,21,1,3,1,2025-07-11
C00119,2024-07-06,South Africa,Desktop,Organic,Basic,99.0,0.097,89.4,25,1,9,0,
C00120,2024-03-28,USA,Mobile,Paid Social,Standard,179.0,0.233,137.29,19,2,7,1,2025-03-18
C00121,2024-11-30,Kenya,Desktop,Referral,Basic,99.0,0.014,97.61,17,2,5,1,2025-01-19
C00122,2025-05-24,South Africa,Desktop,Organic,Premium,299.0,0.083,274.18,24,0,7,0,
C00123,2025-05-13,South Africa,Tablet,Referral,Basic,99.0,0.082,90.88,27,2,4,1,2025-11-11
C00124,2024-12-24,Kenya,Mobile,Referral,Standard,179.0,0.069,166.65,23,2,7,1,2025-08-18
C00125,2025-10-13,Germany,Desktop,Referral,Basic,99.0,0.075,91.58,10,0,8,0,
C00126,2025-03-06,South Africa,Desktop,Paid Social,Basic,99.0,0.107,88.41,31,1,6,1,2025-10-16
C00127,2024-03-01,India,Desktop,Paid Social,Standard,179.0,0.053,169.51,19,3,6,1,2025-04-26
C00128,2025-08-05,United Kingdom,Desktop,Paid Social,Standard,179.0,0.221,139.44,17,2,6,0,
C00129,2025-03-13,India,Mobile,Paid Social,Standard,179.0,0.09,162.89,3,0,4,0,
C00130,2025-04-28,South Africa,Mobile,Organic,Premium,299.0,0.093,271.19,29,1,8,1,2026-03-28
C00131,2025-03-06,United Kingdom,Mobile,Partner,Premium,299.0,0.097,270.0,25,1,7,1,2025-08-12
C00132,2025-02-25,South Africa,Tablet,Paid Social,Premium,299.0,0.225,231.72,25,2,5,1,2026-04-05
C00133,2024-03-10,South Africa,Mobile,Referral,Basic,99.0,0.011,97.91,15,1,8,0,
C00134,2025-03-02,Germany,Desktop,Organic,Standard,179.0,0.095,162.0,16,1,8,1,2025-12-08
C00135,2025-08-28,United Kingdom,Desktop,Organic,Premium,299.0,0.011,295.71,21,2,8,1,2025-11-13
C00136,2024-08-19,South Africa,Mobile,Paid Search,Basic,99.0,0.225,76.73,22,1,5,1,2024-10-26
C00137,2025-04-04,India,Mobile,Paid Search,Basic,99.0,0.137,85.44,23,1,3,1,2026-01-30
C00138,2024-01-24,South Africa,Mobile,Paid Search,Premium,299.0,0.071,277.77,22,1,4,1,2024-05-05
C00139,2024-09-21,Nigeria,Desktop,Organic,Standard,179.0,0.031,173.45,29,1,5,1,2026-02-21
C00140,2024-11-28,Brazil,Mobile,Organic,Standard,179.0,0.097,161.64,20,0,10,0,
C00141,2026-01-18,Nigeria,Mobile,Paid Search,Premium,299.0,0.079,275.38,20,0,6,0,
C00142,2024-06-12,India,Desktop,Organic,Standard,179.0,0.05,170.05,23,1,6,0,
C00143,2024-07-29,Nigeria,Mobile,Partner,Basic,99.0,0.085,90.58,7,0,6,0,
C00144,2024-11-07,India,Desktop,Organic,Basic,99.0,0.055,93.56,20,3,4,1,2024-12-14
C00145,2026-01-26,United Kingdom,Mobile,Organic,Basic,99.0,0.074,91.67,6,0,7,0,
C00146,2025-10-12,Germany,Mobile,Organic,Basic,99.0,0.066,92.47,10,0,5,0,
C00147,2024-01-27,South Africa,Mobile,Paid Search,Standard,179.0,0.009,177.39,5,0,9,0,
C00148,2024-06-27,Germany,Mobile,Paid Search,Premium,299.0,0.039,287.34,23,2,7,0,
C00149,2025-09-18,South Africa,Mobile,Paid Social,Basic,99.0,0.238,75.44,31,2,10,1,2026-06-06
C00150,2024-02-14,Brazil,Desktop,Partner,Basic,99.0,0.144,84.74,17,1,4,1,2024-08-15
C00151,2025-10-14,South Africa,Mobile,Organic,Premium,299.0,0.079,275.38,29,0,10,0,
C00152,2024-08-02,South Africa,Mobile,Paid Social,Basic,99.0,0.096,89.5,37,1,8,1,2024-09-30
C00153,2025-11-30,India,Mobile,Organic,Standard,179.0,0.068,166.83,24,0,6,0,
C00154,2024-08-11,South Africa,Mobile,Organic,Standard,179.0,0.074,165.75,15,1,5,1,2024-09-29
C00155,2024-11-26,South Africa,Desktop,Paid Search,Standard,179.0,0.069,166.65,16,0,4,1,2025-01-06
C00156,2025-05-19,Germany,Mobile,Organic,Basic,99.0,0.087,90.39,18,0,6,0,
C00157,2024-04-06,South Africa,Tablet,Paid Social,Standard,179.0,0.12,157.52,16,5,6,0,
C00158,2025-02-28,South Africa,Mobile,Paid Social,Basic,99.0,0.193,79.89,14,0,7,0,
C00159,2025-01-19,Kenya,Mobile,Paid Social,Standard,179.0,0.224,138.9,29,0,3,1,2025-02-04
C00160,2025-08-20,South Africa,Mobile,Paid Search,Basic,99.0,0.206,78.61,26,0,10,0,
C00161,2026-01-29,South Africa,Mobile,Paid Social,Standard,179.0,0.046,170.77,8,1,7,0,
C00162,2025-05-21,South Africa,Desktop,Paid Search,Standard,179.0,0.023,174.88,14,0,7,0,
C00163,2024-11-07,South Africa,Mobile,Organic,Basic,99.0,0.09,90.09,14,1,6,0,
C00164,2024-11-05,South Africa,Mobile,Organic,Basic,99.0,0.046,94.45,23,1,5,1,2026-02-06
C00165,2024-11-14,South Africa,Desktop,Paid Social,Basic,99.0,0.228,76.43,27,0,5,1,2025-05-16
C00166,2025-09-12,United Kingdom,Desktop,Partner,Basic,99.0,0.231,76.13,40,1,7,0,
C00167,2024-09-01,United Kingdom,Desktop,Organic,Basic,99.0,0.063,92.76,14,0,7,0,
C00168,2024-05-07,South Africa,Tablet,Paid Search,Premium,299.0,0.21,236.21,21,0,9,0,
C00169,2024-09-11,South Africa,Desktop,Paid Social,Basic,99.0,0.134,85.73,23,2,6,1,2026-01-23
C00170,2024-01-18,USA,Desktop,Referral,Premium,299.0,0.04,287.04,19,0,8,0,
C00171,2024-03-21,Nigeria,Desktop,Paid Search,Premium,299.0,0.137,258.04,23,2,7,0,
C00172,2024-03-09,South Africa,Mobile,Paid Social,Basic,99.0,0.036,95.44,15,0,8,0,
C00173,2025-08-10,Kenya,Desktop,Paid Social,Standard,179.0,0.02,175.42,3,0,7,0,
C00174,2025-07-04,South Africa,Mobile,Referral,Premium,299.0,0.026,291.23,25,1,9,0,
C00175,2025-06-14,India,Desktop,Organic,Standard,179.0,0.062,167.9,20,3,7,0,
C00176,2024-12-17,USA,Tablet,Partner,Basic,99.0,0.088,90.29,28,3,5,1,2025-06-19
C00177,2025-06-30,USA,Mobile,Organic,Basic,99.0,0.058,93.26,18,3,5,1,2026-10-10
C00178,2024-05-02,South Africa,Desktop,Referral,Basic,99.0,0.036,95.44,8,1,7,0,
C00179,2025-11-17,South Africa,Desktop,Organic,Standard,179.0,0.053,169.51,19,2,7,0,
C00180,2025-01-16,South Africa,Mobile,Organic,Premium,299.0,0.0,299.0,7,0,7,0,
C00181,2025-12-15,South Africa,Mobile,Organic,Premium,299.0,0.085,273.59,14,1,5,1,2026-06-06
C00182,2024-04-26,South Africa,Desktop,Paid Search,Basic,99.0,0.197,79.5,23,2,9,0,
C00183,2025-01-13,United Kingdom,Tablet,Organic,Standard,179.0,0.014,176.49,19,0,9,0,
C00184,2025-06-14,South Africa,Mobile,Organic,Basic,99.0,0.044,94.64,25,3,8,1,2025-11-24
C00185,2025-01-12,USA,Mobile,Paid Search,Premium,299.0,0.009,296.31,8,0,6,0,
C00186,2024-12-05,South Africa,Desktop,Paid Search,Basic,99.0,0.056,93.46,16,0,8,0,
C00187,2024-05-06,South Africa,Mobile,Referral,Premium,299.0,0.052,283.45,20,0,4,0,
C00188,2024-10-17,India,Mobile,Referral,Premium,299.0,0.004,297.8,32,1,7,1,2025-02-11
C00189,2024-06-30,Germany,Mobile,Paid Social,Basic,99.0,0.054,93.65,23,1,3,1,2025-05-06
C00190,2024-08-17,South Africa,Mobile,Organic,Basic,99.0,0.046,94.45,23,0,4,1,2025-07-08
C00191,2025-06-04,Nigeria,Mobile,Organic,Premium,299.0,0.008,296.61,36,0,6,1,2026-05-12
C00192,2025-04-25,South Africa,Desktop,Referral,Basic,99.0,0.077,91.38,15,1,5,1,2025-05-14
C00193,2025-04-07,South Africa,Desktop,Organic,Standard,179.0,0.066,167.19,32,0,6,0,
C00194,2024-10-02,Kenya,Desktop,Paid Search,Premium,299.0,0.08,275.08,16,1,5,1,2025-12-21
C00195,2026-01-01,South Africa,Mobile,Partner,Standard,179.0,0.25,134.25,12,1,9,0,
C00196,2024-03-07,United Kingdom,Mobile,Partner,Basic,99.0,0.192,79.99,24,0,6,0,
C00197,2024-09-18,South Africa,Mobile,Paid Search,Basic,99.0,0.134,85.73,6,0,6,1,2025-03-09
C00198,2024-03-30,United Kingdom,Mobile,Paid Social,Basic,99.0,0.064,92.66,23,2,5,1,2024-07-05
C00199,2024-09-15,India,Mobile,Paid Search,Premium,299.0,0.08,275.08,25,1,9,0,
C00200,2026-01-02,South Africa,Mobile,Paid Social,Basic,99.0,0.129,86.23,27,3,7,1,2026-07-06
C00201,2024-10-06,South Africa,Mobile,Organic,Basic,99.0,0.066,92.47,18,0,3,1,2026-01-04
C00202,2025-11-23,South Africa,Mobile,Organic,Basic,99.0,0.042,94.84,18,0,9,0,
C00203,2025-01-12,India,Desktop,Paid Social,Premium,299.0,0.24,227.24,28,0,5,1,2025-06-13
C00204,2025-06-17,United Kingdom,Desktop,Organic,Basic,99.0,0.075,91.58,13,2,6,1,2025-07-25
C00205,2024-12-14,Germany,Desktop,Paid Social,Premium,299.0,0.147,255.05,18,1,4,1,2025-10-05
C00206,2024-07-21,South Africa,Desktop,Organic,Standard,179.0,0.016,176.14,25,0,8,0,
C00207,2025-08-05,South Africa,Mobile,Referral,Premium,299.0,0.015,294.52,24,4,10,1,2026-09-22
C00208,2026-01-08,Nigeria,Mobile,Referral,Premium,299.0,0.073,277.17,21,1,7,0,
C00209,2024-07-19,South Africa,Mobile,Paid Search,Premium,299.0,0.024,291.82,23,0,6,0,
C00210,2025-08-16,Germany,Mobile,Referral,Premium,299.0,0.007,296.91,37,0,7,0,
C00211,2024-07-17,South Africa,Mobile,Organic,Basic,99.0,0.012,97.81,14,2,3,1,2025-03-05
C00212,2025-08-24,South Africa,Mobile,Paid Search,Standard,179.0,0.209,141.59,17,0,9,1,2026-11-15
C00213,2024-12-08,Kenya,Mobile,Organic,Standard,179.0,0.057,168.8,7,1,8,0,
C00214,2025-07-15,Kenya,Mobile,Referral,Standard,179.0,0.069,166.65,21,2,5,0,
C00215,2024-07-26,Nigeria,Desktop,Referral,Premium,299.0,0.018,293.62,29,0,4,1,2025-12-25
C00216,2024-03-01,South Africa,Desktop,Referral,Premium,299.0,0.073,277.17,31,2,7,0,
C00217,2024-03-14,USA,Desktop,Referral,Standard,179.0,0.094,162.17,22,1,9,0,
C00218,2024-12-06,India,Desktop,Partner,Standard,179.0,0.049,170.23,29,1,4,1,2025-04-23
C00219,2025-11-18,USA,Mobile,Organic,Standard,179.0,0.02,175.42,27,1,9,0,
C00220,2024-04-07,United Kingdom,Mobile,Partner,Basic,99.0,0.124,86.72,27,0,6,1,2025-03-24
C00221,2024-12-13,United Kingdom,Desktop,Paid Search,Basic,99.0,0.187,80.49,26,1,4,1,2026-03-28
C00222,2025-06-20,Nigeria,Mobile,Paid Search,Basic,99.0,0.047,94.35,31,1,5,1,2025-11-10
C00223,2024-06-03,South Africa,Mobile,Paid Search,Basic,99.0,0.248,74.45,17,4,8,1,2025-07-19
C00224,2025-07-03,South Africa,Mobile,Organic,Basic,99.0,0.091,89.99,7,2,3,1,2026-03-08
C00225,2024-08-21,Nigeria,Desktop,Organic,Standard,179.0,0.041,171.66,26,1,6,0,
C00226,2025-09-08,South Africa,Desktop,Organic,Basic,99.0,0.086,90.49,24,1,8,1,2025-12-11
C00227,2025-03-17,South Africa,Mobile,Organic,Premium,299.0,0.051,283.75,37,0,8,0,
C00228,2025-02-20,India,Desktop,Paid Search,Standard,179.0,0.162,150.0,31,1,6,0,
C00229,2024-05-14,South Africa,Mobile,Referral,Basic,99.0,0.001,98.9,34,2,9,0,
C00230,2024-12-18,Kenya,Mobile,Paid Social,Basic,99.0,0.034,95.63,23,0,8,1,2025-08-01
C00231,2025-10-14,United Kingdom,Mobile,Paid Search,Basic,99.0,0.002,98.8,20,0,6,1,2026-09-20
C00232,2024-01-15,South Africa,Mobile,Paid Search,Premium,299.0,0.109,266.41,13,0,5,1,2024-07-03
C00233,2025-07-31,USA,Desktop,Paid Search,Basic,99.0,0.022,96.82,20,2,5,1,2026-12-10
C00234,2025-01-10,South Africa,Mobile,Organic,Standard,179.0,0.039,172.02,17,0,8,0,
C00235,2025-07-02,USA,Desktop,Referral,Premium,299.0,0.054,282.85,26,0,5,0,
C00236,2025-05-20,India,Mobile,Organic,Premium,299.0,0.001,298.7,24,0,10,0,
C00237,2024-11-25,South Africa,Desktop,Paid Social,Basic,99.0,0.22,77.22,22,0,10,0,
C00238,2024-08-23,South Africa,Desktop,Paid Social,Basic,99.0,0.205,78.7,17,1,5,1,2024-11-09
C00239,2025-04-23,South Africa,Desktop,Paid Search,Basic,99.0,0.178,81.38,25,1,7,1,2025-05-18
C00240,2024-04-16,South Africa,Mobile,Referral,Basic,99.0,0.032,95.83,0,0,9,0,
C00241,2025-03-21,South Africa,Tablet,Organic,Basic,99.0,0.032,95.83,20,3,9,1,2026-08-02
C00242,2024-03-13,Brazil,Mobile,Referral,Standard,179.0,0.038,172.2,31,0,9,1,2025-04-03
C00243,2025-05-10,South Africa,Desktop,Paid Social,Premium,299.0,0.161,250.86,39,0,4,0,
C00244,2025-04-24,India,Desktop,Referral,Standard,179.0,0.025,174.52,27,0,7,0,
C00245,2024-03-05,South Africa,Mobile,Paid Social,Standard,179.0,0.118,157.88,34,0,8,0,
C00246,2025-07-31,Brazil,Mobile,Referral,Basic,99.0,0.064,92.66,19,1,5,1,2025-09-02
C00247,2024-11-12,South Africa,Mobile,Partner,Premium,299.0,0.06,281.06,24,0,10,0,
C00248,2025-08-22,South Africa,Mobile,Paid Search,Standard,179.0,0.079,164.86,25,5,8,1,2026-06-18
C00249,2024-02-01,Nigeria,Mobile,Referral,Premium,299.0,0.098,269.7,24,2,6,0,
C00250,2024-05-16,South Africa,Mobile,Paid Social,Premium,299.0,0.151,253.85,18,1,6,1,2025-10-10
C00251,2025-01-11,India,Mobile,Paid Search,Basic,99.0,0.239,75.34,14,1,6,0,
C00252,2024-09-08,South Africa,Mobile,Partner,Basic,99.0,0.135,85.64,9,0,7,0,
C00253,2025-05-18,Nigeria,Desktop,Paid Search,Basic,99.0,0.183,80.88,22,1,7,0,
C00254,2024-04-20,Nigeria,Mobile,Paid Search,Basic,99.0,0.202,79.0,18,3,7,1,2025-06-06
C00255,2024-03-19,Nigeria,Desktop,Organic,Premium,299.0,0.056,282.26,21,1,6,0,
C00256,2024-05-13,South Africa,Mobile,Organic,Basic,99.0,0.043,94.74,13,5,0,1,2024-06-13
C00257,2025-03-23,South Africa,Mobile,Referral,Standard,179.0,0.027,174.17,25,0,4,0,
C00258,2025-08-27,South Africa,Mobile,Paid Search,Standard,179.0,0.143,153.4,27,1,4,1,2026-11-14
